0 	0.9999538
0.006666667 	0.9999548
0.01333333 	0.9999558
0.02 	0.9999568
0.02666667 	0.9999578
0.03333333 	0.9999588
0.04 	0.9999597
0.04666667 	0.9999607
0.05333333 	0.9999616
0.06 	0.9999625
0.06666667 	0.9999635
0.07333333 	0.9999566
0.08 	0.9999497
0.08666667 	0.9999428
0.09333333 	0.9999359
0.1 	0.9999291
0.1066667 	0.9999219
0.1133333 	0.9999147
0.12 	0.9999075
0.1266667 	0.9999003
0.1333333 	0.9998931
0.14 	0.9998962
0.1466667 	0.9998993
0.1533333 	0.9999024
0.16 	0.9999055
0.1666667 	0.9999086
0.1733333 	0.9999129
0.18 	0.9999172
0.1866667 	0.9999216
0.1933333 	0.9999259
0.2 	0.9999302
0.2066667 	0.9999295
0.2133333 	0.9999288
0.22 	0.999928
0.2266667 	0.9999273
0.2333333 	0.9999266
0.24 	0.9999264
0.2466667 	0.9999263
0.2533333 	0.9999261
0.26 	0.9999259
0.2666667 	0.9999258
0.2733333 	0.9999325
0.28 	0.9999392
0.2866667 	0.9999459
0.2933333 	0.9999526
0.3 	0.9999593
0.3066667 	0.9999652
0.3133333 	0.9999711
0.32 	0.9999769
0.3266667 	0.9999828
0.3333333 	0.9999887
0.34 	0.9999877
0.3466667 	0.9999867
0.3533333 	0.9999857
0.36 	0.9999847
0.3666667 	0.9999837
0.3733333 	0.9999753
0.38 	0.9999668
0.3866667 	0.9999584
0.3933333 	0.99995
0.4 	0.9999416
0.4066667 	0.9999291
0.4133333 	0.9999166
0.42 	0.9999041
0.4266667 	0.9998916
0.4333333 	0.9998791
0.44 	0.9998847
0.4466667 	0.9998903
0.4533333 	0.9998959
0.46 	0.9999016
0.4666667 	0.9999072
0.4733333 	0.9999218
0.48 	0.9999365
0.4866667 	0.9999511
0.4933333 	0.9999658
0.5 	0.9999804
0.5066667 	0.999984
0.5133333 	0.9999875
0.52 	0.9999911
0.5266667 	0.9999947
0.5333333 	0.9999982
0.54 	0.9999977
0.5466667 	0.9999972
0.5533333 	0.9999966
0.56 	0.9999961
0.5666667 	0.9999956
0.5733333 	0.999992
0.58 	0.9999884
0.5866667 	0.9999848
0.5933333 	0.9999812
0.6 	0.9999776
0.6066667 	0.9999731
0.6133333 	0.9999686
0.62 	0.9999641
0.6266667 	0.9999596
0.6333333 	0.9999551
0.64 	0.9999569
0.6466667 	0.9999588
0.6533333 	0.9999607
0.66 	0.9999625
0.6666667 	0.9999644
0.6733333 	0.9999693
0.68 	0.9999743
0.6866667 	0.9999792
0.6933333 	0.9999841
0.7 	0.9999891
0.7066667 	0.9999884
0.7133333 	0.9999878
0.72 	0.9999871
0.7266667 	0.9999864
0.7333333 	0.9999857
0.74 	0.9994845
0.7466667 	0.9989833
